CarNumber,Refund,Fines,Make,Model,Year
T686EO197RUS,1,1000.0,Toyota,Camry,1983
9943OH154RUS,1,400.0,Skoda,Octavia,2010
Y354O8197RUS,1,10800.0,Ford,Focus,1994
7065C8197RUS,1,3800.0,Volkswagen,Passat,2000
E28777161RUS,1,800.0,Ford,Focus,2008
M701T9152RUS,2,3000.0,Ford,Focus,1994
E577HE77RUS,2,12000.0,Ford,Focus,2009
92788M178RUS,1,1200.0,Ford,Focus,1994
9072EM178RUS,2,4400.0,Ford,Focus,2005
9409H7178RUS,1,3000.0,Skoda,Octavia,2010
C3829X154RUS,2,13500.0,Ford,Focus,2003
T478KX197RUS,2,7500.0,Ford,Focus,2001
T119CT96RUS,1,2000.0,Ford,Focus,2003
X795O796RUS,1,1000.0,Ford,Focus,2016
708487163RUS,1,1000.0,Ford,Focus,1990
H983HY161RUS,1,500.0,Ford,Focus,2017
7842C8197RUS,1,6000.0,Ford,Focus,1987
O64097197RUS,2,8594.5864661654,Ford,Focus,1990
Y693HM197RUS,2,6500.0,BMW,,1994
96857X197RUS,1,37800.0,Skoda,Octavia,1981
7177TT36RUS,1,500.0,Ford,Focus,2013
9428EX178RUS,1,500.0,Ford,Focus,2008
84438C154RUS,2,7600.0,Ford,Focus,1993
Y7689C197RUS,2,9000.0,Ford,Focus,1983
H427YH197RUS,1,9900.0,Volkswagen,Passat,2003
T394KX197RUS,2,1500.0,Ford,Focus,2019
O49897197RUS,2,11800.0,Ford,Focus,2000
H963X936RUS,1,1800.0,Skoda,Octavia,2002
T341CC96RUS,2,1000.0,Volkswagen,Passat,2015
9942KK197RUS,2,6200.0,Ford,Focus,2009
9141H8178RUS,1,300.0,Skoda,Octavia,2008
9942KK197RUS,2,3100.0,Ford,Focus,1986
7370C8197RUS,2,5000.0,Ford,Focus,1992
9890HX152RUS,2,9200.0,Ford,Focus,2012
9409H7178RUS,1,6000.0,Skoda,Octavia,2013
M268CH197RUS,1,800.0,Toyota,Camry,1986
Y780EE197RUS,1,2300.0,Volkswagen,Golf,2007
Y388E877RUS,2,9500.0,Ford,Focus,1990
C419X938RUS,1,1100.0,Ford,Focus,2018
M0319X197RUS,2,4500.0,Ford,Focus,1989
M577CH197RUS,2,17000.0,Ford,Focus,1994
7361C8197RUS,1,8594.5864661654,Ford,Focus,1989
H975HY161RUS,1,2000.0,Ford,Focus,1980
X018HY197RUS,2,10600.0,Toyota,Camry,2011
E33177152RUS,2,7100.0,Ford,Focus,2010
X256HE161RUS,2,1600.0,Ford,Focus,2003
Y7689C197RUS,2,45000.0,Ford,Focus,1983
7788KT197RUS,2,4000.0,Ford,Focus,1995
9491H7178RUS,1,500.0,Volkswagen,Jetta,1980
M374CH197RUS,1,5500.0,Ford,Focus,1996
96679X178RUS,2,2400.0,Ford,Focus,2014
9594HY161RUS,1,300.0,Ford,Focus,1999
83218C154RUS,1,100.0,Ford,Focus,1987
9764HY161RUS,1,800.0,Ford,Focus,1990
708187163RUS,1,1000.0,Ford,Focus,1987
H908YK197RUS,1,4800.0,Ford,Focus,1996
H004MH197RUS,2,19800.0,Ford,Focus,1991
92788M178RUS,1,300.0,Ford,Focus,1987
Y656E8750RUS,1,8594.5864661654,Skoda,Octavia,1983
9679EC178RUS,1,500.0,Ford,Focus,1983
O017KO197RUS,1,1600.0,Ford,Focus,1985
H957HY161RUS,1,1000.0,Ford,Focus,1998
X286TC36RUS,1,500.0,Ford,Focus,1986
C803KE163RUS,1,1000.0,Volkswagen,Jetta,2016
Y7379Y50RUS,2,2000.0,Ford,Focus,2006
X320MK197RUS,1,7500.0,Ford,Focus,1985
C476M7161RUS,2,500.0,Ford,Focus,2000
H844YH197RUS,1,1000.0,Ford,Focus,2006
96907X197RUS,2,3000.0,BMW,,1995
Y650E8750RUS,1,1000.0,Skoda,Octavia,1986
H235YH197RUS,2,5100.0,Skoda,Octavia,1991
9474EX178RUS,1,500.0,Ford,Focus,1997
Y8259C197RUS,1,1500.0,Ford,Focus,2008
E29577161RUS,1,500.0,Ford,Focus,2007
X761HY197RUS,2,18300.0,Ford,Focus,2017
H387TM197RUS,1,8594.5864661654,Volkswagen,Passat,1998
T396KX197RUS,2,10300.0,Ford,Focus,1991
C593EY154RUS,1,1000.0,Ford,Focus,1989
Y164O8161RUS,1,800.0,Ford,Focus,1981
M942OT152RUS,1,2000.0,Ford,Focus,1998
T476KX197RUS,2,4500.0,Ford,Focus,2012
H889YK197RUS,2,21200.0,Ford,Focus,2014
Y7429Y50RUS,2,2000.0,Ford,Focus,2000
H976HY161RUS,2,2200.0,Ford,Focus,2007
C410X938RUS,2,2200.0,Ford,Focus,2012
Y195O8161RUS,1,100.0,Ford,Focus,1998
O669E8197RUS,1,18000.0,Ford,Focus,2001
Y187O8161RUS,2,400.0,Ford,Focus,2006
K329T8197RUS,2,13000.0,Skoda,Octavia,1996
96659X178RUS,1,900.0,Ford,Focus,1991
7842C8197RUS,2,12000.0,Ford,Focus,2004
O275O7161RUS,1,8300.0,Ford,Focus,2016
9677MO178RUS,1,2200.0,Ford,Mondeo,1984
H957HY161RUS,1,8594.5864661654,Ford,Focus,2006
M0279X197RUS,2,36000.0,Ford,Focus,1986
9939KK197RUS,1,1600.0,Ford,Focus,2009
Y8399C197RUS,1,600.0,Ford,Focus,2000
M373CH197RUS,2,6600.0,Ford,Focus,1988
7164YM36RUS,2,18800.0,Ford,Focus,2002
7843C8197RUS,2,4100.0,Ford,Focus,1994
O753MX161RUS,2,700.0,Ford,Focus,2000
9468EX178RUS,2,2000.0,Ford,Focus,1982
T395KX197RUS,2,7600.0,Ford,Focus,1989
T6488M116RUS,2,21000.0,Ford,Focus,2017
7361C8197RUS,1,800.0,Ford,Focus,1985
98047H178RUS,1,500.0,Ford,Focus,1989
8316XX154RUS,1,1100.0,Ford,Focus,2013
O752MX161RUS,2,2600.0,Ford,Focus,2009
8234XX154RUS,2,2600.0,Ford,Focus,1996
9488EY178RUS,2,1300.0,Ford,Focus,2001
96857X197RUS,2,18900.0,Skoda,Octavia,2018
O481OH77RUS,2,1000.0,Toyota,Camry,2019
K326T8197RUS,1,100.0,Volkswagen,Passat,2012
90159H178RUS,1,8594.5864661654,Volkswagen,Passat,1993
9469EX178RUS,1,4200.0,Ford,Focus,2001
X796TH96RUS,1,500.0,Ford,Focus,2013
9499KX178RUS,1,4600.0,Ford,Focus,2013
Y358O8197RUS,2,21800.0,Ford,Focus,1998
C420X938RUS,2,3300.0,Ford,Focus,2016
Y965O8197RUS,2,1600.0,Ford,Focus,1993
96429X178RUS,2,1300.0,Ford,Focus,1987
Y274O8197RUS,2,10700.0,Ford,Focus,1983
Y358O8197RUS,1,43600.0,Ford,Focus,2001
E223YM197RUS,2,19500.0,Ford,Focus,2017
E42277152RUS,2,5300.0,Ford,Focus,1982
E34877152RUS,2,36600.0,Ford,Focus,2000
Y964EE197RUS,2,8594.5864661654,Ford,Focus,2015
T6049O50RUS,2,15000.0,Ford,Focus,1988
8601XX154RUS,1,3900.0,Skoda,Octavia,2005
H259HY161RUS,1,900.0,Toyota,Corolla,2017
T940CC96RUS,1,500.0,Ford,Focus,2014
T288CT96RUS,1,1500.0,Ford,Focus,2011
Y6839Y50RUS,1,1500.0,Ford,Focus,1992
Y344E877RUS,1,1000.0,Ford,Focus,2009
K889HY161RUS,2,46200.0,Ford,Mondeo,1995
H214X836RUS,1,8000.0,Ford,Focus,2001
T399KX197RUS,2,15300.0,Ford,Focus,1980
O421OT161RUS,1,1200.0,Skoda,Octavia,1985
H232YH197RUS,1,8594.5864661654,Ford,Focus,2017
7360C8197RUS,2,9600.0,Ford,Focus,2017
T6418M116RUS,1,49200.0,Ford,Focus,1984
7248C8197RUS,2,34400.0,Ford,Mondeo,2011
Y194O8161RUS,2,900.0,Ford,Focus,2007
9881HX152RUS,2,20600.0,Ford,Focus,2015
T6359O50RUS,2,13500.0,Ford,Focus,1986
E29677161RUS,2,6000.0,Ford,Focus,1996
T020MM116RUS,2,3000.0,Skoda,Octavia,1991
C798ET50RUS,1,5000.0,Ford,Focus,2010
Y7719C197RUS,2,4600.0,Ford,Focus,1990
9502XX38RUS,1,3000.0,Skoda,Octavia,1981
8521XX154RUS,1,1000.0,Ford,Focus,2019
Y273O8197RUS,2,26300.0,Ford,Focus,2008
M580CH197RUS,2,47500.0,Ford,Focus,1995
K376HE161RUS,1,100.0,Ford,Focus,1994
7193TT36RUS,2,3300.0,Ford,Focus,2007
O785T9163RUS,1,500.0,Ford,Focus,2000
H618YC38RUS,1,300.0,Volkswagen,Golf,1987
Y7689C197RUS,1,36000.0,Ford,Focus,1985
M592CH197RUS,1,3500.0,Skoda,Octavia,2006
Y352O8197RUS,2,77700.0,Ford,Focus,1997
9068EM178RUS,1,600.0,Ford,Focus,2004
7783KT197RUS,1,6000.0,Ford,Focus,1985
Y305E877RUS,2,2500.0,Ford,Focus,2007
E881OT197RUS,2,5500.0,Skoda,Octavia,1998
Y8259C197RUS,2,3000.0,Ford,Focus,2014
Y969O8197RUS,2,7800.0,Ford,Focus,1993
92928M178RUS,2,3000.0,Ford,Focus,2005
O718MM163RUS,2,7000.0,Ford,Focus,2010
Y7129Y50RUS,1,8594.5864661654,Ford,Focus,1985
9975CC77RUS,2,7000.0,Ford,Focus,2008
C592EY154RUS,1,2000.0,Ford,Focus,1986
T195OK161RUS,1,6700.0,Ford,Mondeo,2019
Y966O8197RUS,2,20800.0,Ford,Focus,2008
T914CT197RUS,2,7200.0,Toyota,Camry,1981
E41977152RUS,2,2400.0,Ford,Focus,2010
T171CC96RUS,1,1000.0,Ford,Focus,1989
9464EX178RUS,2,2100.0,Ford,Focus,2016
O50197197RUS,2,7800.0,Ford,Focus,1983
7608EE777RUS,1,4000.0,Skoda,Octavia,1982
X583HE161RUS,1,3000.0,Ford,Focus,1980
Y7229Y50RUS,2,2500.0,Ford,Focus,2011
M6977E152RUS,1,500.0,Ford,Focus,2015
K2797K154RUS,1,800.0,Ford,Focus,1988
8325M7154RUS,1,1000.0,Ford,Focus,2013
Y192O8161RUS,2,300.0,Ford,Focus,1987
7784KT197RUS,1,6600.0,Ford,Focus,2019
96599X178RUS,1,500.0,Ford,Focus,2003
X760HY197RUS,1,10100.0,Ford,Focus,1993
Y358O8197RUS,2,10900.0,Ford,Focus,1992
H966HY161RUS,1,500.0,Ford,Focus,2019
9938KK197RUS,2,28500.0,Ford,Focus,2018
98087H178RUS,1,8594.5864661654,Ford,Focus,1995
K2807K154RUS,1,500.0,Ford,Focus,1999
H977HY161RUS,1,600.0,Ford,Focus,1987
7367C8197RUS,1,6000.0,Ford,Focus,1999
9137X938RUS,1,1600.0,Ford,Focus,2001
Y356O8197RUS,2,15300.0,Ford,Focus,2017
9398MM199RUS,1,300.0,Volkswagen,Passat,2001
8436XX154RUS,1,2400.0,Ford,Focus,1987
8180XX154RUS,2,1400.0,Ford,Focus,2011
E53477152RUS,1,7200.0,Ford,Focus,1991
O718MM163RUS,2,3500.0,Ford,Focus,1986
9677MO178RUS,1,1100.0,Ford,Mondeo,2003
9498KX178RUS,1,4000.0,Ford,Focus,1998
K436MO152RUS,2,3000.0,Ford,Focus,1996
7194TT36RUS,2,2300.0,Ford,Focus,2007
7364C8197RUS,2,4500.0,Ford,Focus,2011
O136HO197RUS,2,7800.0,Toyota,Corolla,1982
O68897197RUS,2,12300.0,Ford,Focus,1987
O718MM163RUS,2,8594.5864661654,Ford,Focus,2001
7065C8197RUS,2,11400.0,Volkswagen,Passat,2005
O22097197RUS,1,24300.0,Ford,Focus,2011
Y163O8161RUS,2,1600.0,Ford,Focus,1992
M0309X197RUS,1,22300.0,Ford,Focus,2017
O673E8197RUS,2,600.0,Ford,Focus,1985
8610T8154RUS,1,2000.0,Ford,Focus,1982
H419XE197RUS,2,8594.5864661654,Toyota,Corolla,2011
M0299X197RUS,2,118765.19860807547,Ford,Focus,1980
83298C154RUS,1,119023.88845805865,Ford,Focus,1992
H957HY161RUS,5,303358.46778402623,Ford,Focus,2018
T941CC96RUS,1,168814.6992676927,Ford,Focus,1984
H966HY161RUS,1,87274.00790239067,Ford,Focus,1997
Y655E8750RUS,1,63127.747619786984,Skoda,Octavia,2006
C410X938RUS,4,188766.90306183565,Ford,Focus,2007
7781KT197RUS,5,76865.11172576685,Ford,Focus,2013
97968K152RUS,3,176910.31461427335,Ford,Focus,1984
H837YK197RUS,2,100703.31088908437,Audi,,2016
X320MK197RUS,3,292207.9612808842,Ford,Focus,2007
96907X197RUS,1,26877.39472619102,BMW,,1981
C798ET50RUS,5,170299.2914948296,Ford,Focus,1996
8441XX154RUS,2,276752.26915124594,Ford,Focus,1985
8180XX154RUS,3,80756.26342487033,Ford,Focus,2000
9402KK197RUS,1,185379.12237611384,Toyota,Camry,1980
7840C8197RUS,5,349543.9368742145,Ford,Focus,2015
7788KT197RUS,5,374352.5394712144,Ford,Focus,2000
E41577152RUS,4,243766.95009424834,Ford,Focus,2014
Y352O8197RUS,5,448470.11741620314,Ford,Focus,2007
8321XX154RUS,5,160457.20450092191,Ford,Focus,1989
H976HY161RUS,1,131965.4449070626,Ford,Focus,1983
K2797K154RUS,2,471771.1573640471,Ford,Focus,1990
Y302E877RUS,3,422053.8557036604,Ford,Focus,1986
K2797K154RUS,3,402315.6255876556,Ford,Focus,2011
92918M178RUS,1,72605.72961490815,Ford,Focus,2015
89557X197RUS,5,473166.72555351653,Toyota,Camry,1998
8316XX154RUS,3,420426.66824206675,Ford,Focus,2016
96659X178RUS,1,242254.19324326955,Ford,Focus,1986
H259HY161RUS,1,350610.6785936842,Toyota,Corolla,2018
X782CO96RUS,3,53352.30590724213,Ford,Focus,1986
H232YH197RUS,4,184035.67512527166,Ford,Focus,2002
T288CT96RUS,1,480896.3171860725,Ford,Focus,2003
Y7129Y50RUS,1,370125.8170663389,Ford,Focus,1993
T171CC96RUS,4,96945.13342651776,Ford,Focus,1986
H906YK197RUS,2,117683.91229967482,Ford,Focus,2006
E160YX77RUS,5,303118.1318868199,Ford,Focus,2014
E816HE77RUS,1,57173.93363316095,Ford,Focus,1982
Y8259C197RUS,3,21110.980000339146,Ford,Focus,2003
H115YO163RUS,5,95967.2750924506,Ford,Focus,2007
8437XX154RUS,3,51717.62927587706,Ford,Focus,1988
H961HY161RUS,5,129767.72347218687,Ford,Focus,2014
H237YH197RUS,2,423804.3384243102,Ford,Focus,1997
T6459O50RUS,1,389781.1513071246,Ford,Focus,1991
M268CH197RUS,1,382444.0718859341,Toyota,Camry,1988
T6049O50RUS,4,109499.5365689511,Ford,Focus,1996
C420X938RUS,2,62074.366465692,Ford,Focus,2012
C3829X154RUS,4,489560.1480764363,Ford,Focus,1985
O22397197RUS,5,99527.94495952003,Ford,Focus,2016
E52677152RUS,5,320570.06208147877,Ford,Focus,2006
C584EY154RUS,5,259674.78952469872,Ford,Focus,1990
7828C8197RUS,2,424882.2386291094,Ford,Focus,2007
7183TT36RUS,1,456984.38171814504,Ford,Focus,1980
O718MM163RUS,3,306819.29202230414,Ford,Focus,1980
X256HE161RUS,3,494691.938680377,Ford,Focus,2005
E160YX77RUS,3,60543.14784278089,Ford,Focus,2013
7840C8197RUS,1,447035.340363111,Ford,Focus,1994
X286TC36RUS,1,431372.70780133246,Ford,Focus,1995
T6428M116RUS,2,116189.9650146003,Ford,Focus,2006
Y7689C197RUS,3,148155.008020425,Ford,Focus,1998
H618YC38RUS,2,173439.1610902034,Volkswagen,Golf,2015
O49797197RUS,2,945.5019127682918,Ford,Focus,1997
H419XE197RUS,1,364609.2067066451,Toyota,Corolla,2003
H971HY161RUS,3,122151.75086315846,Ford,Focus,2015
H957HY161RUS,3,467767.0299113758,Ford,Focus,1993
T6449O50RUS,1,217388.48734335083,Ford,Focus,1987
9499KX178RUS,2,257494.47123956363,Ford,Focus,1981
T394KX197RUS,4,44774.900025576295,Ford,Focus,1988
Y344E877RUS,1,167780.83715129414,Ford,Focus,1997
O77997197RUS,2,95803.00818602752,Ford,Focus,1986
O02397197RUS,5,366300.5686029296,Volkswagen,Jetta,2009
98087H178RUS,4,253972.2600545042,Ford,Focus,1990
O68897197RUS,3,186355.1872785591,Ford,Focus,2014
Y359EY197RUS,1,427871.4273317655,Skoda,Octavia,2006
O143HO197RUS,5,245771.16678324243,Toyota,Corolla,2007
Y7379Y50RUS,3,190445.32233063236,Ford,Focus,2003
Y8399C197RUS,3,125040.21041520887,Ford,Focus,1986
9072EM178RUS,1,371124.7432915164,Ford,Focus,2000
T6488M116RUS,2,167285.17800050837,Ford,Focus,1982
9881HX152RUS,4,485413.65307394636,Ford,Focus,2012
Y973O8197RUS,2,35390.71764330873,Ford,Focus,2001
E394MO152RUS,1,195759.72654805327,Ford,Focus,1981
X504X8197RUS,4,312979.4633392447,Skoda,Octavia,2004
H214X836RUS,2,288787.0836221615,Ford,Focus,2012
T535ET96RUS,4,444763.0766001332,Ford,Focus,2002
C477M7161RUS,2,468217.8537315376,Ford,Focus,2001
E53488152RUS,4,375929.36616916227,Ford,Focus,2003
K2797K154RUS,2,283943.37275031867,Ford,Focus,1980
E948C8152RUS,1,179998.31399619696,Ford,Focus,2010
Y316E877RUS,3,329803.5723418055,Ford,Focus,1987
O719MM163RUS,3,344670.24857602984,Ford,Focus,2013
7843C8197RUS,2,208911.14468276798,Ford,Focus,1985
7368C8197RUS,2,452851.50913583214,Ford,Focus,2001
96679X178RUS,4,193476.62280224034,Ford,Focus,1989
96857X197RUS,2,208610.7481703143,Skoda,Octavia,2004
M256OH161RUS,2,457590.5519636573,Ford,Focus,2013
M372CH197RUS,2,13017.126977761167,Ford,Focus,1994
7844C8197RUS,2,296415.2067687532,Ford,Focus,2002
H387TM197RUS,2,376735.02910919033,Volkswagen,Passat,1980
Y166O8161RUS,4,221628.91994080998,Ford,Focus,2001
705787163RUS,4,268224.5721728028,Ford,Focus,2015
7197TT36RUS,5,210616.63767815268,Ford,Focus,2013
84418C154RUS,2,106148.87006779364,Ford,Focus,1997
H385TM197RUS,2,389794.2619893923,Volkswagen,Passat,1982
E28877161RUS,4,12279.563082634753,Ford,Focus,1997
Y653E8750RUS,2,257599.71991848643,Skoda,Octavia,2007
Y969O8197RUS,5,272318.12969945173,Ford,Focus,1995
Y969O8197RUS,4,453141.06150441384,Ford,Focus,1992
7361C8197RUS,5,491316.9067864388,Ford,Focus,1984
Y038TO197RUS,1,20080.51432030819,Toyota,Corolla,1996
7066C8197RUS,2,116963.62740467628,Volkswagen,Passat,2003
T769OT197RUS,2,40451.537322730794,Volkswagen,Golf,1999
O22297197RUS,2,339889.6205144902,Ford,Focus,2001
7788KT197RUS,5,240540.99028659472,Ford,Focus,1994
H115YO163RUS,1,255720.8579191014,Ford,Focus,2002
E552MO152RUS,4,272236.91103479796,Ford,Focus,2017
O83597197RUS,2,295401.95905045175,Ford,Focus,2011
M592CH197RUS,1,450529.62335522607,Skoda,Octavia,1982
X762HY197RUS,4,351814.7488054071,Ford,Focus,1985
M577CH197RUS,3,207347.4921969704,Ford,Focus,2015
9182CE154RUS,2,103264.56268683706,Ford,Focus,2017
K339T8197RUS,5,223741.16671774248,Ford,Focus,2015
Y973O8197RUS,5,41615.07899656333,Ford,Focus,1987
9428EX178RUS,1,289803.4269953671,Ford,Focus,1991
X4128H125RUS,3,302544.9228110947,Ford,Focus,2017
X256HE161RUS,2,499923.4199114056,Ford,Focus,1991
7842C8197RUS,1,265692.3346438306,Ford,Focus,1999
O753MX161RUS,1,71279.44060301613,Ford,Focus,1994
T6559O50RUS,2,291822.5443602492,Ford,Focus,2017
Y356O8197RUS,2,165595.03991832427,Ford,Focus,2017
X759HY197RUS,5,206269.4323353365,Ford,Focus,1994
H217X836RUS,3,368905.926051688,Ford,Focus,2017
Y654E8750RUS,1,25536.754995938187,Skoda,Octavia,1996
98017H178RUS,1,285595.65089585254,Ford,Focus,1983
7183TT36RUS,4,459671.46473311516,Ford,Focus,1988
O22097197RUS,1,297082.784998528,Ford,Focus,2012
H387TM197RUS,1,173613.67604713514,Volkswagen,Passat,2016
E42577152RUS,4,338079.8091316954,Ford,Focus,1987
Y275O8197RUS,5,251388.54883637544,Ford,Focus,1991
9683EC178RUS,3,76586.44511553616,Ford,Focus,2015
M374CH197RUS,4,155343.286002351,Ford,Focus,1998
9943OH154RUS,5,292987.6928874838,Skoda,Octavia,1998
K327T8197RUS,5,488285.6690550702,Volkswagen,Golf,2012
X767HY197RUS,4,380949.8241971324,Ford,Focus,1988
T686EO197RUS,3,362156.7392365026,Toyota,Camry,1996
7831C8197RUS,3,183916.20747989888,Ford,Focus,1981
9020YC197RUS,3,481179.8326116177,Skoda,Octavia,1992
7369C8197RUS,1,79203.59406379914,Ford,Focus,1994
O77997197RUS,2,200395.16586060633,Ford,Focus,2012
7788KT197RUS,3,96062.73506213556,Ford,Focus,2007
Y234E877RUS,3,487315.8966270523,Ford,Focus,1985
O6939X163RUS,4,404509.9215665977,Ford,Focus,1985
7364C8197RUS,3,63017.00248941191,Ford,Focus,1995
9408H7178RUS,5,435527.25269793894,Skoda,Octavia,2008
E40577152RUS,5,215977.9592115839,Ford,Focus,2014
K328T8197RUS,2,28422.30052984504,Volkswagen,Golf,2005
9683EC178RUS,3,316763.6594581898,Ford,Focus,2005
8439XX154RUS,3,401960.80393318506,Ford,Focus,1980
X583HE161RUS,2,297906.2292872699,Ford,Focus,1999
X795O796RUS,5,108891.38586465799,Ford,Focus,2012
H427YH197RUS,4,166354.57120600608,Volkswagen,Passat,1999
Y780EE197RUS,4,22280.115778731873,Volkswagen,Golf,2004
9697MO178RUS,4,285436.5937466228,Volkswagen,Golf,1998
9939KK197RUS,4,342343.7325279333,Ford,Focus,2018
T018OX197RUS,3,160062.0141951536,Toyota,Corolla,1984
7830C8197RUS,4,424063.26926193124,Ford,Focus,2001
E53677152RUS,1,67761.41444493925,Ford,Focus,1990
Y164O8161RUS,3,146369.0663385658,Ford,Focus,2017
T6419O50RUS,5,38378.65388763587,Ford,Focus,2009
X765HY197RUS,4,38913.33104905073,Ford,Focus,2006
X423MK197RUS,2,224221.69853184995,Ford,Focus,1988
7826C8197RUS,3,214553.99235803177,Ford,Focus,1994
E223YM197RUS,1,379320.4672226855,Ford,Focus,1983
H977HY161RUS,3,268982.7274944066,Ford,Focus,2002
8603T8154RUS,3,199476.07610844588,Ford,Focus,2018
98047H178RUS,1,355638.172171995,Ford,Focus,2000
X522OM161RUS,4,93496.42867732997,Ford,Focus,1991
O136HO197RUS,4,219242.1508637384,Toyota,Corolla,2003
7089H8163RUS,5,405605.9509413218,Toyota,Corolla,2003
O718MM163RUS,2,416524.4786802588,Ford,Focus,1986
7608EE777RUS,4,202622.41309929316,Skoda,Octavia,2014
T171CC96RUS,3,340594.44649910205,Ford,Focus,2007
E822TH36RUS,3,1751.3051050797303,Ford,Focus,2015
H115YO163RUS,3,174317.0782246666,Ford,Focus,2002
7365C8197RUS,1,31202.479463948246,Ford,Focus,1994
C299K9154RUS,4,258942.24453194268,Ford,Focus,2012
M2169X197RUS,2,460974.34148004645,Ford,Focus,2000
Y7659C197RUS,2,411530.67474377126,Ford,Focus,1993
E396MO152RUS,3,220545.98673454148,Ford,Focus,1985
O22297197RUS,5,22827.714162596018,Ford,Focus,1982
7364C8197RUS,1,462776.35065898043,Ford,Focus,1996
Y192O8161RUS,2,69824.0833760875,Ford,Focus,1985
H220X836RUS,2,263878.0047245993,Ford,Focus,2011
T483CT96RUS,3,494001.96759588,Ford,Focus,1983
X257HE161RUS,2,339848.44611256535,Ford,Focus,1986
8182XX154RUS,4,332476.61233162467,Ford,Focus,2012
X796TH96RUS,4,82111.33914004672,Ford,Focus,2006
T011MY163RUS,4,115183.48060044761,Ford,Focus,1985
T341CC96RUS,5,101974.88922715056,Volkswagen,Passat,1986
T119CT96RUS,4,59550.971361681164,Ford,Focus,2004
NEW001,1,4373.093023324364,Ford,Fiesta,2012
NEW002,2,3034.479484798312,Toyota,Corolla,2008
NEW003,3,4288.843190954848,Honda,Civic,2012
NEW004,1,4738.3097569152005,Chevrolet,Impala,2004
NEW005,4,2635.470011822045,Nissan,Altima,2025
